file_name,start_time,end_time,speaker
20200706_L_R001S01C01.flac,1739.5565937500005,1749.2597187500005,SPEAKER_01
20200706_L_R001S01C01.flac,533.3990938,533.4834687499999,SPEAKER_06
20200706_L_R001S01C01.flac,1125.441594,1134.8409687500002,SPEAKER_06
20200706_L_R001S01C01.flac,600.7640938,611.4965937500001,SPEAKER_04
20200706_L_R001S01C01.flac,608.8303437500001,609.0328438,SPEAKER_06
20200706_L_R001S01C01.flac,980.4684688,980.50221875,SPEAKER_06
20200706_L_R001S01C01.flac,1043.749719,1043.80034375,SPEAKER_03
20200706_L_R001S01C01.flac,1882.53846875,1917.14909375,SPEAKER_06
20200706_L_R001S01C01.flac,962.64846875,963.4078438,SPEAKER_05
20200706_L_R001S01C01.flac,657.3797187499999,664.8553438,SPEAKER_06
20200706_L_R001S01C01.flac,686.4722187500001,686.5228438,SPEAKER_02
20200706_L_R001S01C01.flac,1194.0384687500002,1199.7759687500002,SPEAKER_02
20200706_L_R001S01C01.flac,972.1490938,977.0934688,SPEAKER_04
20200706_L_R001S01C01.flac,1879.53471875,1882.53846875,SPEAKER_04
20200706_L_R001S01C01.flac,1822.86846875,1824.57284375,SPEAKER_01
20200706_L_R001S01C01.flac,993.8165938,993.85034375,SPEAKER_03
20200706_L_R001S01C01.flac,1096.754094,1104.482844,SPEAKER_00
20200706_L_R001S01C01.flac,57.726593750000006,59.532218750000006,SPEAKER_04
20200706_L_R001S01C01.flac,852.9609687500001,853.0284688,SPEAKER_04
20200706_L_R001S01C01.flac,1113.814719,1119.4847187500002,SPEAKER_03
20200706_L_R001S01C01.flac,377.3222187500001,389.62409375,SPEAKER_05
20200706_L_R001S01C01.flac,548.8397188,552.6197188,SPEAKER_03
20200706_L_R001S01C01.flac,1539.79034375,1539.891594,SPEAKER_04
20200706_L_R001S01C01.flac,1175.1890937500002,1175.796594,SPEAKER_02
20200706_L_R001S01C01.flac,893.5115938,893.5622188,SPEAKER_02
20200706_L_R001S01C01.flac,678.8953437499999,679.8065938,SPEAKER_06
